videoId,title,channelTitle,categoryId,publishTime,viewCount,likeCount,commentCount,containsSyntheticMedia
XMOFWEr07xI,Lil Baby - Otha Boy,LilBabyVEVO,10,2025-11-12T17:01:01Z,285213,25329,2839,
GuCejewteF8,The Super Mario Galaxy Movie – Official Trailer,Nintendo of America,1,2025-11-12T14:10:47Z,2918084,191787,16444,
_3IkaGoyGKQ,THE BIG FINALE (Dispatch 7 & 8),jacksepticeye,20,2025-11-12T21:04:26Z,737122,77095,7257,
veSg0RjgbX4,"Clipse, Pusha T, Malice, Stove God Cooks - F.I.C.O. (Official Music Video)",clipseVEVO,10,2025-11-12T17:00:06Z,291593,40056,2708,
9c-DrMe8o5Q,The Devil Wears Prada 2 | Teaser Trailer,20th Century Studios,1,2025-11-12T17:00:17Z,2234966,63379,2396,
OmKrKTwtukE,Steam Hardware Announcement,Valve,20,2025-11-12T18:00:43Z,1839853,317451,27395,
cIHsaI2XET4,Cardi B - ErrTime (feat. Jeezy) [Official Audio],Cardi B,10,2025-11-12T17:00:59Z,52944,7014,843,
X6xQKNM1xA8,ELDEN RING NIGHTREIGN The Forsaken Hollows | Official Gameplay Reveal Trailer,Bandai Namco Entertainment America,20,2025-11-11T22:44:47Z,355799,23000,1909,
dU3ru09HTng,Every Other VR Headset is Obsolete Now - Steam Frame First Look,Linus Tech Tips,28,2025-11-12T17:59:59Z,1177232,80201,5986,
Y6L0B3S_C-o,Losin' Streak,Hazbin Hotel - Topic,10,2025-11-12T08:02:24Z,184061,10906,0,
CaSxNAZUKsM,"GOOD LUCK, HAVE FUN, DON'T DIE | Teaser Trailer | February 13 - Only in Theaters",Briarcliff Entertainment,1,2025-11-12T14:00:00Z,264954,7976,432,
c53r8-xQE78,TRUST THE PROCESS | A Call of Duty Documentary,OpTic Gaming,20,2025-11-12T18:00:11Z,257977,21454,2039,
pdOgqeexD7w,Topoppgen - Petty $hit (Official Video),Topoppgen,22,2025-11-12T20:00:48Z,42121,6002,555,
pU28ukue2zw,The Mario Galaxy Movie Trailer Looks...,3C Films,24,2025-11-12T19:13:24Z,61125,4362,418,
qTvOu5LDsW0,Dispatch: Episode 7 & 8 - Full Game Playthrough (Finale),BrosClanYt,20,2025-11-12T19:32:55Z,208481,6068,471,
fhr_XwSYf8w,G Herbo - Fallen Soldiers (Official Music Video),G Herbo,10,2025-11-12T21:00:50Z,72321,8010,703,
ZvFmElCcKVg,"The Housemaid (2025) Official Trailer 2 - Sydney Sweeney, Amanda Seyfried, Brandon Sklenar",Lionsgate Movies,1,2025-11-12T18:00:01Z,60685,1587,164,
SCAKX1luh_0,Dispatch finale,penguinz0,24,2025-11-13T01:33:23Z,337201,15457,470,
k8ETScdspO8,Top 3 Hour Christmas Songs Playlist 🎄 Best Christmas Music 2025,Christmas Songs and Carols - Love to Sing,10,2025-11-12T11:30:55Z,55474,371,27,
jxl1LAtuqmk,Everything You MISSED In The Super Mario Galaxy Movie TRAILER!,Nin10doland,20,2025-11-12T17:31:54Z,46569,2366,343,
xnzhnB9u6jw,"Dispatch Episode 7 & 8 Full Playthrough (Uncensored, Invisigal, Sonar & Phenomenon Route)",CGInferno,20,2025-11-12T20:27:22Z,171340,6664,492,
JOw3y4CNeRs,Scorpions - Still Loving You (Lyrics),7clouds,10,2025-11-12T14:08:59Z,177263,1214,111,
s9gSuKaKcqM,Marty Supreme | Official Trailer HD | A24,A24,1,2025-11-11T14:01:11Z,5680617,27593,1441,
WR6RRDp4MKw,I Upgraded The RAREST BRAINROTS in Steal a Brainrot…,CashBlox,24,2025-11-12T12:01:14Z,713858,48810,7907,
5P7u3SCL5os,Noah Rinker - Wherever I Go (Live from Sound Emporium),Noah Rinker,10,2025-11-11T17:00:07Z,1398488,2906,79,
AzBSsKqvXdI,"GOOD LUCK, HAVE FUN, DON'T DIE Official Trailer (2026) Sam Rockwell",Movie Trailers Source,1,2025-11-12T14:18:13Z,113729,2908,241,
w2bJAFKAr2E,DISPATCH Episode 7 & 8 Gameplay Walkthrough FULL GAME ALL ENDINGS  [4K 60FPS] - No Commentary,MKIceAndFire,20,2025-11-12T20:34:59Z,181483,8353,613,
xo4JELxJGPY,Rutshelle Guillaume - Ou Mechan [Official Video],Rutshelle Guillaume,10,2025-11-12T17:00:07Z,179245,17609,3977,
D_uIaLyrEo0,Avengers Doomsday Trailer News: WTF is Going on with this Movie?,ScreenCrush,1,2025-11-12T21:58:51Z,43652,1726,265,
d4yvBw1sfko,Gambit: Le Diable Blanc | Character Reveal | Marvel Rivals,Marvel Rivals,20,2025-11-11T18:30:47Z,1184599,61726,4185,
ySJE71dxJoA,Fine Chiki,JNR VIGI - Topic,10,2025-11-07T06:58:26Z,39612,1686,51,
HSalndpS-zM,Super Mario Galaxy Movie Trailer Reaction,3C Films Clips,20,2025-11-12T15:02:51Z,50544,3261,319,
FrwrbnEqc64,I Got My OWN LUCKY BLOCK in Steal a Brainrot..,CaylusBlox,20,2025-11-12T19:18:45Z,333119,8247,1821,
qtlb5xu1XBw,"Grupo Firme - Luis Alfonso Partida ""El Yaki"" - Que Te Quieran Bonito (Video Oficial)",Grupo Firme,10,2025-11-11T18:00:07Z,849052,30997,820,
x0e9apQSRX8,"""The Super Mario Galaxy Movie"" Official Trailer REACTION!!",Dwayne N Jazz,24,2025-11-12T16:05:39Z,33068,2598,205,
OORB8RoAtoU,Our New Team is Actually JUICED! Wheel of MUT! Ep. #19,MMG,17,2025-11-13T00:06:59Z,97987,6828,500,
eOEdKbrllT4,Chuckyy - F Talkin (Official Music Video),Chuckyy ,22,2025-11-12T22:00:07Z,49678,5095,222,
VBc3cEnqLI4,The Super Mario Galaxy Movie Trailer Hit Me Harder Than I Expected,Arlo,20,2025-11-12T21:10:09Z,30340,1883,332,
9oNiqQ6t9CE,NOOB to GALAXY in Roblox Tree Cutter,SSundee,20,2025-11-12T22:00:10Z,154740,7361,375,
1XZVp2pJ4_I,When You're Gone,Sean Rii - Topic,10,2025-11-06T10:00:03Z,90292,3565,252,
PwGWhN6AwBg,The Super Mario Galaxy Movie  | Official Trailer REACTION!!,Blind Wave,24,2025-11-12T22:23:09Z,19131,1437,80,
8ToiXCeydgI,Steam just dropped their PC..,Asmongold TV  ,20,2025-11-13T00:31:52Z,254106,18024,5275,
MFRpfoIP2eQ,Shakira - Antología (LIVE) Pies Descalzos 30th | Spotify Anniversary,Shakira,26,2025-11-12T14:00:45Z,234747,9157,632,
wWWEAl35yRQ,The Super Mario Galaxy Movie – Official Trailer | Group Reaction,The Normies,24,2025-11-12T17:06:20Z,31299,1440,94,
yl_D4AeUoyM,I'm Disappointed In Parlo..,Gwamgo,20,2025-11-12T21:00:06Z,249904,14975,4889,
vitil9qMN6A,Robyn - Dopamine (Official Music Video),Robyn,10,2025-11-12T18:31:13Z,115191,13754,1186,
JhlD_IZwpuw,THE SUPER MARIO GALAXY MOVIE - Official Trailer (2026),JoBlo Animated Videos,1,2025-11-12T14:12:45Z,118817,3780,516,
j8v1_89yv78,Dispatch Episode 7 FULL Gameplay Walkthrough (FULL GAME) 4K No Commentary,GamersPrey,20,2025-11-12T17:48:09Z,160461,4494,316,
N-b_Xb3l6Dk,"Tito ""El Bambino"", Ñengo Flow, Dj Nelson - Flow Callejero (Official Video)","Tito ""El Bambino""",10,2025-11-12T00:00:07Z,718450,15133,1975,
98InrnK9oek,Mowgli Teaser | Roshan Kanakala | Sandeep Raj | Bandi Saroj Kumar | Sakkshi | TG Vishwa Prasad | PMF,People Media Factory,24,2025-11-12T11:11:37Z,577883,28996,926,
